entry_date,entry_price,exit_date,exit_price,return_pct,hold_days,exit_reason
2022-01-07,41566.48,2022-01-22,35331.508,-15.0,15,stop
2022-09-06,18790.61,2022-09-09,21360.11,13.674,3,rsi_exit
2023-03-09,20362.22,2023-03-13,24113.48,18.423,4,rsi_exit
2023-08-17,26623.41,2023-08-29,27716.34,4.105,12,rsi_exit
2024-06-24,60293.3,2024-07-14,60797.91,0.837,20,rsi_exit
2024-08-05,54018.81,2024-08-21,61156.03,13.212,16,rsi_exit
2025-02-25,88680.4,2025-03-02,94270.0,6.303,5,rsi_exit
2025-11-17,92215.14,2026-01-02,89995.13,-2.407,46,rsi_exit
2026-01-31,78741.09,2026-02-05,66929.9265,-15.0,5,stop
2026-06-02,66760.83,2026-06-14,64607.48,-3.225,12,open_at_end
