entry_date,entry_price,exit_date,exit_price,return_pct,hold_days,exit_reason
2021-07-30,322.58,2021-09-12,416.3,29.053,44,signal_exit
2021-10-05,442.1,2021-10-10,404.1,-8.595,5,signal_exit
2021-10-11,413.1,2021-12-10,552.4,33.721,60,signal_exit
2022-10-28,297.9,2022-11-09,267.3,-10.272,12,signal_exit
2022-11-11,290.4,2022-11-12,282.8,-2.617,1,signal_exit
2022-12-02,293.4,2022-12-07,284.2,-3.136,5,signal_exit
2023-01-10,277.1,2023-02-27,304.6,9.924,48,signal_exit
2023-03-16,329.4,2023-04-08,310.5,-5.738,23,signal_exit
2023-04-10,318.5,2023-05-07,321.0,0.785,27,signal_exit
2023-11-06,255.1,2023-11-07,246.2,-3.489,1,signal_exit
2023-11-09,251.6,2023-11-13,241.1,-4.173,4,signal_exit
2023-11-15,253.7,2023-11-16,242.7,-4.336,1,signal_exit
2023-11-17,244.9,2023-11-21,225.5,-7.922,4,signal_exit
2023-12-10,239.8,2024-04-19,554.0,131.026,131,signal_exit
2024-04-20,570.9,2024-05-18,580.3,1.647,28,signal_exit
2024-05-20,599.6,2024-06-18,588.6,-1.835,29,signal_exit
2024-07-20,593.1,2024-08-03,529.6,-10.706,14,signal_exit
2024-08-21,570.1,2024-08-27,533.3,-6.455,6,signal_exit
2024-09-19,567.0,2024-09-30,567.4,0.071,11,signal_exit
2024-10-08,580.8,2024-10-09,570.7,-1.739,1,signal_exit
2024-10-11,573.6,2024-11-02,568.6,-0.872,22,signal_exit
2024-11-08,597.82,2025-01-21,692.21,15.789,74,signal_exit
2025-02-20,656.36,2025-02-21,647.47,-1.354,1,signal_exit
2025-02-22,668.57,2025-02-24,614.2,-8.132,2,signal_exit
2025-03-27,637.36,2025-03-28,619.81,-2.754,1,signal_exit
2025-05-09,666.29,2025-06-05,633.32,-4.948,27,signal_exit
2025-06-07,650.82,2025-06-14,645.61,-0.801,7,signal_exit
2025-06-15,648.19,2025-06-17,648.08,-0.017,2,signal_exit
2025-07-02,659.71,2025-10-31,1088.9,65.057,121,signal_exit
2026-01-05,910.31,2026-01-08,892.26,-1.983,3,signal_exit
2026-01-09,896.86,2026-01-20,884.2,-1.412,11,signal_exit
