entry_date,entry_price,exit_date,exit_price,return_pct,hold_days,exit_reason
2021-08-09,46253.4,2021-08-12,44399.0,-4.009,3,signal_exit
2021-08-13,47800.0,2021-08-17,44695.95,-6.494,4,signal_exit
2021-08-19,46760.62,2021-09-10,44850.91,-4.084,22,signal_exit
2021-09-12,46025.24,2021-09-13,44940.73,-2.356,1,signal_exit
2021-09-15,48121.41,2021-09-20,43015.62,-10.61,5,signal_exit
2021-10-04,49224.94,2021-11-20,59707.51,21.295,47,signal_exit
2023-01-13,19930.01,2023-03-06,22410.0,12.443,52,signal_exit
2023-03-15,24285.66,2023-05-09,27628.27,13.764,55,signal_exit
2023-06-21,29993.89,2023-07-25,29228.91,-2.55,34,signal_exit
2023-10-16,28500.78,2024-01-18,41327.5,45.005,94,signal_exit
2024-02-03,43011.09,2024-04-15,63419.99,47.45,72,signal_exit
2024-05-17,67024.0,2024-06-16,66676.87,-0.518,30,signal_exit
2024-07-18,63987.92,2024-08-03,60697.99,-5.141,16,signal_exit
2024-08-24,64157.01,2024-08-26,62834.0,-2.062,2,signal_exit
2024-09-24,64262.7,2024-09-25,63152.01,-1.728,1,signal_exit
2024-09-26,65173.99,2024-09-30,63327.59,-2.833,4,signal_exit
2024-10-14,66083.99,2024-12-29,93738.2,41.847,76,signal_exit
2025-01-05,98363.61,2025-01-09,92552.49,-5.908,4,signal_exit
2025-01-16,99987.3,2025-02-05,96612.43,-3.375,20,signal_exit
2025-04-22,93442.99,2025-06-21,102120.01,9.286,60,signal_exit
2025-06-25,107340.58,2025-08-20,114271.24,6.457,56,signal_exit
2025-09-13,115918.29,2025-09-25,108994.49,-5.973,12,signal_exit
2025-10-01,118594.99,2025-10-15,110763.28,-6.604,14,signal_exit
