entry_date,entry_price,exit_date,exit_price,return_pct,hold_days,exit_reason
2021-07-27,2299.49,2021-09-20,2977.28,29.476,55,signal_exit
2021-10-05,3515.27,2021-11-26,4041.2,14.961,52,signal_exit
2021-11-30,4630.26,2021-12-04,3935.721,-15.0,4,stop
2021-12-08,4436.91,2021-12-09,4105.64,-7.466,1,signal_exit
2022-04-03,3521.91,2022-04-05,3406.99,-3.263,2,signal_exit
2023-01-12,1415.92,2023-03-05,1564.58,10.499,52,signal_exit
2023-03-15,1649.96,2023-05-01,1830.73,10.956,47,signal_exit
2023-05-05,1993.3,2023-05-08,1847.56,-7.311,3,signal_exit
2023-05-29,1892.6,2023-06-10,1751.53,-7.454,12,signal_exit
2023-06-23,1892.63,2023-07-25,1857.66,-1.848,32,signal_exit
2023-10-24,1784.98,2023-10-27,1779.4,-0.313,3,signal_exit
2023-10-29,1795.14,2024-01-25,2218.64,23.591,88,signal_exit
2024-02-08,2419.55,2024-04-03,3310.83,36.837,55,signal_exit
2024-04-10,3545.64,2024-04-12,3237.43,-8.693,2,signal_exit
2024-05-20,3661.78,2024-06-18,3483.42,-4.871,29,signal_exit
2024-07-19,3503.53,2024-07-25,3175.48,-9.363,6,signal_exit
2024-07-26,3274.61,2024-07-27,3249.01,-0.782,1,signal_exit
2024-11-08,2961.75,2024-12-22,3281.83,10.807,44,signal_exit
2025-01-06,3687.45,2025-01-07,3381.31,-8.302,1,signal_exit
2025-06-09,2680.13,2025-06-12,2642.65,-1.398,3,signal_exit
2025-07-03,2591.25,2025-07-04,2508.04,-3.211,1,signal_exit
2025-07-05,2516.41,2025-09-24,4152.81,65.029,81,signal_exit
2025-10-04,4487.15,2025-10-10,3814.0775,-15.0,6,stop
