entry_date,entry_price,exit_date,exit_price,return_pct,hold_days,exit_reason
2021-05-19,339.0255,2021-05-20,288.1717,-15.0,1,stop
2021-05-23,262.9457,2021-06-03,427.8079,62.698,11,rsi_exit
2022-01-07,447.7885,2022-01-16,498.4279,11.309,9,rsi_exit
2022-01-21,383.0739,2022-02-06,419.5456,9.521,16,rsi_exit
2022-05-09,299.3489,2022-05-12,254.4466,-15.0,3,stop
2022-06-12,255.9509,2022-06-13,217.5582,-15.0,1,stop
2022-12-16,231.2324,2023-01-04,259.1197,12.06,19,rsi_exit
2023-06-05,276.8893,2023-06-10,235.3559,-15.0,5,stop
2023-08-17,218.5358,2023-08-29,226.8629,3.81,12,rsi_exit
2023-09-11,206.0342,2023-09-19,217.211,5.425,8,rsi_exit
2024-07-04,513.9945,2024-07-15,586.1411,14.036,11,rsi_exit
2024-08-05,464.6269,2024-08-17,542.2343,16.703,12,rsi_exit
2025-02-04,573.3278,2025-02-12,698.0374,21.752,8,rsi_exit
2025-11-21,830.0787,2025-12-03,921.7537,11.044,12,rsi_exit
2026-01-31,780.4846,2026-02-05,663.4119,-15.0,5,stop
2026-02-15,614.638,2026-03-04,657.8168,7.025,17,rsi_exit
