entry_date,entry_price,exit_date,exit_price,return_pct,hold_days,exit_reason
2022-01-07,3199.24,2022-01-21,2719.354,-15.0,14,stop
2022-05-09,2228.55,2022-05-12,1894.2675,-15.0,3,stop
2022-05-27,1727.27,2022-06-12,1468.1795,-15.0,16,stop
2023-08-17,1681.49,2023-09-28,1652.99,-1.695,42,rsi_exit
2024-07-04,3059.7,2024-07-15,3483.39,13.847,11,rsi_exit
2024-08-04,2688.92,2024-08-05,2285.582,-15.0,1,stop
2025-02-28,2237.59,2025-03-10,1901.9515,-15.0,10,stop
2025-04-06,1580.76,2025-04-22,1756.26,11.102,16,rsi_exit
2025-11-04,3287.05,2025-11-20,2793.9925,-15.0,16,stop
2026-01-31,2451.95,2026-02-04,2084.1575,-15.0,4,stop
2026-02-11,1941.18,2026-03-04,2127.28,9.587,21,rsi_exit
2026-06-02,1859.84,2026-06-05,1580.864,-15.0,3,stop
